x,Curve1
6.16438,1054.14
14.3836,1172.17
24.6575,1196.88
34.9315,1191.39
45.2055,1174.92
55.4795,1147.47
65.7534,1117.28
76.0274,1089.83
84.2466,1059.63
94.5205,1032.18
104.795,1007.48
115.068,982.775
125.342,958.071
135.616,933.367
145.89,911.407
156.164,897.683
164.384,872.979
174.658,856.509
184.932,842.785
195.205,826.315
205.479,809.846
215.753,790.632
223.973,787.887
234.247,757.693
244.521,763.183
254.795,741.224
265.068,732.989
275.342,735.734
285.616,730.244
293.836,722.009
306.164,722.009
314.384,702.795
326.712,700.05
334.932,683.581
345.205,667.111
357.534,661.621
365.753,656.132
373.973,645.152
384.247,642.407
394.521,628.683
404.795,609.468
415.068,614.958
425.342,595.744
435.616,582.019
443.836,590.254
454.11,560.06
466.438,560.06
476.712,549.08
484.932,540.846
495.205,524.376
505.479,527.121
515.753,513.397
523.973,494.182
536.301,494.182
544.521,480.458
554.795,461.244
567.123,477.713
575.342,442.029
585.616,453.009
593.836,420.07
604.11,433.795
614.384,417.325
624.658,403.601
632.877,403.601
645.205,400.856
655.479,376.152
665.753,376.152
676.027,411.835
686.301,351.447
694.521,332.233
704.795,315.764
715.068,313.019
725.342,269.1
733.562,321.254
745.89,304.784
754.11,313.019
764.384,280.08
776.712,334.978
784.932,285.57
795.205,247.141
803.425,247.141
813.699,285.57
823.973,222.437
836.301,153.815
844.521,200.478
854.795,140.09
865.068,208.713
875.342,129.11
881.507,164.794
893.836,140.09
904.11,109.896
914.384,22.0592
924.658,2.8449
934.932,93.4267
945.205,74.2124
953.425,24.8041
963.699,0.1
973.973,0.1
982.192,0.1
994.521,22.0592
1004.79,49.5082
1015.07,0.1
1023.29,109.896
1033.56,49.5082
1043.84,0.1
